지역,구명,임대료(단위:천원)
광화문,서대문구,66
동대문,동대문구,43.1
명동,중구,240.8
서울역,용산구,68.9
종로,종로구,66.9
충무로,중구,47.3
강남대로,강남구,62.5
논현역,강남구,51.1
도산대로,강남구,44.1
서초,서초구,51.2
신사역,강남구,58.1
압구정,강남구,35.9
청담,강남구,71.8
테헤란로,강남구,66.7
공덕역,마포구,42.7
신촌,서대문구,38.3
영등포,영등포구,32.7
홍대합정,마포구,62.8
건대입구,광진구,52
경희대,동대문구,37
군자,강동구,32.2
목동,양천구,26.6
불광역,은평구,32.4
사당,동작구,61
서울대입구역,관악구,85.9
성신여대,강북구,55.5
수유,강북구,41.9
신림역,관악구,123.6
오류동역,구로구,39
왕십리,성동구,45.3
용산,용산구,32.2
이태원,용산구,44.2
잠실,송파구,28.7
장안동,동대문구,35.7
천호,강동구,46.4
청량리,동대문구,32.9
혜화동,종로구,78.7
화곡,강서구,25.2
